system:index,avg_rad,.geo
0_0,0.08872992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.60669839346444,20.18739022237595]}"
1_0,0.102870405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.91249863902428,22.918268686099292]}"
2_0,0.080325715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.07095230657926,19.05551296438535]}"
3_0,0.094106525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.29840116223647,20.676972052221085]}"
4_0,0.11433044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4458770861978,15.035552067950492]}"
5_0,0.20157868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49990534920143,15.448777098645472]}"
6_0,0.17022336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3561749037423,37.70453826270662]}"
7_0,0.14144397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.89503472825756,34.34034752367901]}"
8_0,0.12889338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.89715866496648,18.22906290299539]}"
9_0,0.045302022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.28867191147688,8.365561083363044]}"
10_0,0.054563344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.60919537913257,12.475353508209855]}"
11_0,0.13165604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.80870497534505,23.51115677361818]}"
12_0,0.3510317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.98361776383544,26.520512975418576]}"
13_0,0.11978191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.2486207726507,31.56006171932909]}"
14_0,0.12979242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56802509342879,19.738232580316186]}"
15_0,0.070034266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.35118093240604,10.898810184580094]}"
16_0,0.07126257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.99097937488337,18.934240401029214]}"
17_0,0.025026137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.33882535002185,13.83630116365093]}"
18_0,0.056061413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.1118788892803,6.73961041910671]}"
19_0,0.14793777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.7999655255066,37.39461948968538]}"
20_0,0.0683466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.31936684850265,11.936364337738143]}"
21_0,0.13405843,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.70801006038572,29.687074351939888]}"
22_0,0.32978803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.62604253793735,8.042167581080017]}"
23_0,0.13461924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09890655493417,36.57266100471602]}"
24_0,0.16075183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.57738129522919,30.648271705947774]}"
25_0,0.03429248,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.45361174620493,17.91016097713296]}"
26_0,5.51833,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.14581690989262,26.030931145573437]}"
27_0,0.18587053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6684613164752,36.38850637147152]}"
28_0,0.15558696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.95629525635265,33.09618085517347]}"
29_0,0.055419788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.39136141718868,17.19600032625794]}"
30_0,0.10423233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90951424735067,8.944974441620136]}"
31_0,0.27559602,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.83464964403731,20.932991908195152]}"
32_0,0.07158446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37127117479736,6.887832440986432]}"
