system:index,avg_rad,.geo
56_0,0.30166668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.98013097724616,7.175293331904678]}"
57_0,0.26666668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5556695110446,16.567179627374276]}"
58_0,1.0925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24875011860716,13.728503329556588]}"
59_0,0.40583333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.94207442917245,33.94958037508702]}"
60_0,0.325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.77439390577354,18.25152078509838]}"
61_0,0.29166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.70064844933779,18.934240401029214]}"
62_0,0.5325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.1017765895615,34.64128314385905]}"
63_0,0.3275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.78798299208161,17.474478064334992]}"
64_0,0.2725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.80881933239134,10.216090568649259]}"
65_0,0.305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.16428561049067,9.452522577147665]}"
66_0,1.09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58612074506765,24.11302801397826]}"
67_0,0.805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.544075015489,29.242408286300726]}"
68_0,0.3775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.52547696893448,31.47023019091714]}"
69_0,0.395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.26684577024601,22.671231982966425]}"
70_0,0.7158333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.51300702950401,16.468364946121127]}"
71_0,0.305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.01818752531987,19.98976085986965]}"
72_0,0.255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.08405398688186,17.69905688536487]}"
73_0,0.7058333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.81705638731412,24.000738603463315]}"
74_0,0.55833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.32024229237751,25.33024522396021]}"
75_0,0.30583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45785961962278,7.049529192127945]}"
76_0,0.48333335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08668031850644,19.068987693647145]}"
77_0,0.4525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.03626818804855,26.911280124010567]}"
78_0,0.30166668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.30626516820007,15.143349902044834]}"
79_0,0.335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.81556419147732,6.887832440986432]}"
80_0,0.20583333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78473990849508,14.770549059135233]}"
81_0,0.2775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.51287768354756,16.791758448404156]}"
82_0,0.43916667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.97825074353997,35.35993537115467]}"
83_0,0.33333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.24986926548476,35.993247646458926]}"
84_0,0.44833332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.19772123618732,29.938602631493353]}"
85_0,0.8533333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.81057022014106,24.095061708295866]}"
86_0,0.41916668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.79847332966979,25.676096608346224]}"
87_0,0.2225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.98885543817444,15.089450984997663]}"
88_0,0.24916667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.36465566166784,13.764435940921368]}"
89_0,0.30583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.7203656427699,13.68807914177121]}"
90_0,0.39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.1073873128597,30.836917915612876]}"
91_0,0.21333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.22454134875444,17.609225356952923]}"
92_0,0.33666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.92123808886274,18.386268077716306]}"
93_0,1.3358333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.69878320454178,22.725130900013596]}"
94_0,0.28833333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.98810934025603,20.699429934324076]}"
95_0,0.26083332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.70264304009027,10.090326428872526]}"
96_0,0.87666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.5399564880276,18.866866754720252]}"
97_0,0.39166668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.32635541059138,19.576535829174674]}"
98_0,9.165833,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.46434578679585,26.533987704680367]}"
99_0,1.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2679649171236,10.274481062117028]}"
100_0,0.29916668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.63577178869696,17.36668023024065]}"
101_0,0.66333336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.031159859666,17.98651777628312]}"
102_0,0.7925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.61631328717776,16.939980470283878]}"
103_0,0.26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.51300702950401,11.478223542837187]}"
104_0,0.39083332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.19846733410571,29.525377600798375]}"
105_0,0.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.33146373897392,9.394132083679896]}"
