system:index,avg_rad,.geo
0_0,0.105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.88155999899575,14.276475652869497]}"
1_0,0.33666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.20882832573744,19.127378187114914]}"
2_0,0.25166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.04101845638206,6.595879973647587]}"
3_0,0.27416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.23003771500636,24.202859542390208]}"
4_0,0.35083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6774444693164,20.021201894813835]}"
5_0,0.13583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.9803746802489,8.71141246774906]}"
6_0,0.16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.7939817532492,14.703175412826269]}"
7_0,0.35166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14956238839481,23.008100214511245]}"
8_0,0.3025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.47957140380736,28.222820438825067]}"
9_0,0.43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.3655311055427,7.673858314591013]}"
10_0,0.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13608765913301,9.205485874014798]}"
11_0,0.235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.56789574747233,24.283707917960967]}"
12_0,0.845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.9310966855788,13.265870958235034]}"
13_0,0.26333332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.17077177766373,33.85525727025447]}"
14_0,0.19166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.89141859571181,6.8608829824628454]}"
15_0,0.13583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.97014303457365,17.133118256369574]}"
16_0,0.3241667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.5395834390684,36.658000956707376]}"
17_0,0.175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.66072665646807,11.033557477198023]}"
18_0,0.20416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72685180994297,10.885335455318302]}"
19_0,0.24083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7947278511676,20.385019584882244]}"
20_0,0.30333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.3001520499862,22.401737397730567]}"
