system:index,avg_rad,.geo
0_0,0.18586418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.21132531140557,12.214842075815195]}"
1_0,0.22303979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.53171943310481,18.0224503876479]}"
2_0,0.38818064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.48531147306203,27.944342700748017]}"
3_0,0.16818799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.79111171862186,8.482342070298582]}"
4_0,0.2894421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.20458045231959,28.510281329743314]}"
5_0,0.4341418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.51274833759109,18.282961820042562]}"
6_0,1.614997,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.53533556565054,24.077095402613477]}"
7_0,0.3119064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.71026334305111,31.420822850290566]}"
8_0,0.2726875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.65822967079994,33.87771515235745]}"
9_0,0.3536672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.88530547749795,22.576908878133874]}"
10_0,0.19273533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.21717973770652,16.171920902361688]}"
11_0,0.29263192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.84014601028923,29.130118875785783]}"
12_0,0.17094514,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50514302354043,13.87672535143631]}"
13_0,0.44485423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.86334999031062,15.632931731889974]}"
14_0,0.27479357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.673325941855,31.663367977002835]}"
15_0,0.31468126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.03788972984181,28.788759067820365]}"
16_0,0.35933036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.40271220974154,34.178650772537495]}"
17_0,0.18300475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.26858166908556,14.914279504594356]}"
18_0,0.17440969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.39160512019141,9.412098389362287]}"
19_0,0.14745471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.01343725698635,7.37741427083157]}"
20_0,0.30359071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24388549322735,17.550834863485154]}"
21_0,0.25641873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77625915056954,27.517642940791244]}"
22_0,0.3087413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.70864180125784,26.224068931659133]}"
23_0,0.3008037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.06446613940619,37.04876810529937]}"
24_0,0.23828335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.66721282364114,30.21258879314981]}"
25_0,0.2205597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.04238130626241,19.913404060719493]}"
26_0,0.19927625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.97202326827983,8.774294537637427]}"
27_0,0.23477548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.40944207991735,16.585145933056666]}"
28_0,0.19401379,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.14108163046927,15.251147736139178]}"
29_0,0.7263699,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.89678561600728,11.181779499077745]}"
30_0,0.72121525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.32311232700485,30.522507566171043]}"
31_0,0.18885465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.00870197756302,9.115654345602845]}"
32_0,0.26536837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.03589513908935,27.760188067503513]}"
33_0,0.19026427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.4947820319087,9.003364935087905]}"
34_0,0.46380657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.47208044680298,17.281340278249296]}"
35_0,0.33893952,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.33708945118231,33.617203719962795]}"
36_0,0.4205462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.798846378629,34.39424644072618]}"
37_0,0.14627385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.96315447248492,8.46886734103679]}"
38_0,0.17729585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.36215867599971,17.550834863485154]}"
39_0,0.67781895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.53708645340026,18.0224503876479]}"
40_0,0.19940613,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.80607864372047,7.067495497810335]}"
41_0,0.29043534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74481811562536,35.17128916148957]}"
42_0,0.2842212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.00982112444062,35.548581580819764]}"
43_0,0.1957496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.19248356184832,7.673858314591013]}"
44_0,0.22146972,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.7715238711462,18.04041669333029]}"
45_0,0.24470903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.74519116458457,31.007597819595585]}"
46_0,0.18477122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.60595229554603,11.186271075498341]}"
47_0,0.27813086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24014001472517,33.27584391199738]}"
48_0,0.5050651,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.71587406634931,23.812092393798217]}"
