system:index,avg_rad,.geo
0_0,-0.018674398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.70389153292433,18.260503937939575]}"
1_0,0.10731711,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.38686984076807,31.685825859105822]}"
2_0,0.057139006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.51837404979948,30.369793967870724]}"
3_0,0.31559947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.23764302905704,25.402110446689772]}"
4_0,0.008123784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.73283558220038,17.249899243305112]}"
5_0,-0.0028071455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.9378265557546,6.658762043535954]}"
6_0,0.11467655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.93433976916532,34.27297387737005]}"
7_0,0.07875065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.7525527756325,27.7871375260271]}"
8_0,0.116000466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.60470380271198,36.469354747042274]}"
9_0,-0.043890644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.34607260402349,16.27522716003543]}"
10_0,0.074364915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.6448842874946,13.427567709376548]}"
11_0,0.11803718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52922244743668,21.454014772984472]}"
12_0,0.22397608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.77862679028122,26.421698294165427]}"
13_0,0.039755475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.79185781654027,6.968680816557188]}"
14_0,0.04978037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.65448419229774,23.174288542073356]}"
15_0,0.039552078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.09016710509572,24.306165800063955]}"
16_0,0.39097995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.09603652030684,25.482958822260528]}"
17_0,-0.009602137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.96190597965085,17.865245212926986]}"
18_0,0.75162256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08218874208585,19.92238721356069]}"
19_0,-0.025638992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.87320858702668,15.237673006877385]}"
20_0,-0.0037726415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.59771524062324,19.3339907024624]}"
21_0,0.04486595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.00931872952496,26.237543660920924]}"
22_0,0.16683063,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.47083195396891,27.800612255288893]}"
23_0,0.063110724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.02754372712027,26.34534149501527]}"
24_0,0.46367845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.65673747496314,32.359562322195465]}"
25_0,0.089637846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.90401788109875,35.94384030583235]}"
26_0,0.09854501,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.62678863585576,36.64452622744558]}"
27_0,9.724663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.9889847841309,20.995873978083516]}"
28_0,0.39058346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81269415684999,9.376165777997507]}"
29_0,0.053174436,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.139460088676,24.494812009729053]}"
30_0,0.02589236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.8597338577649,26.273476272285706]}"
31_0,0.010029077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.76727599772835,7.157327026222288]}"
32_0,0.06223777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.69977300546293,32.62007375459012]}"
33_0,-0.021642352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.25174949919095,14.505546050319975]}"
34_0,0.07592078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.46833496830078,29.772414303931242]}"
35_0,0.010077893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.07657801878764,11.71627709312886]}"
36_0,0.004145729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.1294721460035,14.685209107143878]}"
37_0,-0.03911003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.25149080727803,17.87422836576818]}"
38_0,-0.027816884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.66920741439361,18.06287457543328]}"
39_0,-0.0013569915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.90364483213955,16.984896234489852]}"
40_0,0.062868886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.92410812349007,17.43854545297021]}"
41_0,0.31468543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.79560329504245,30.185639334626224]}"
42_0,0.03576205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.7473151012935,11.981280101944119]}"
43_0,0.063561164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.74744444724995,30.693187470153752]}"
44_0,0.0015489133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.3378355491007,8.6350556685989]}"
45_0,0.08984432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.09903590089063,28.959438971803074]}"
46_0,-0.025311057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.58386746240225,15.228689854036189]}"
47_0,-0.020423194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21393665411998,7.179784908325276]}"
48_0,-0.0024826645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.7671466517719,6.53299790375922]}"
49_0,-0.035620145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.47931271189444,13.306295146020412]}"
50_0,0.044557363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67544987856392,21.341725362469532]}"
51_0,0.09046558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.27557023117429,36.58613573397781]}"
52_0,0.06888982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.3853626560211,21.12163811786025]}"
53_0,0.12390382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.54681570415987,36.051638139926695]}"
54_0,0.07204016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.35641860674504,28.128497333992517]}"
55_0,-0.023900589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.16689695320508,9.317775284529738]}"
56_0,0.050739232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.25560933473943,28.456382412696144]}"
57_0,0.09175693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.75106057979569,22.666740406545827]}"
58_0,0.09572057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.57974893494085,35.14433970296598]}"
59_0,0.1602399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.98536865158516,36.95444500046682]}"
60_0,0.087976046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.5261087098066,30.71115377583614]}"
61_0,0.4711443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.53783255131867,25.500925127942917]}"
62_0,0.5049299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.47670136918003,29.98800997211993]}"
63_0,0.14668092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.22716768037903,35.35993537115467]}"
64_0,0.089440085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.38511895301835,29.996993124961122]}"
65_0,-0.0148003595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.11748961257851,25.08320852082734]}"
66_0,0.10945116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92660510915819,32.15294980684797]}"
67_0,0.062321782,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.09765806210011,19.441788536556746]}"
68_0,0.08252611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.045007637887,32.01371093780945]}"
69_0,0.11856529,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1630371176566,19.814589379466348]}"
70_0,0.0025210406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.60669839346444,22.298431140056824]}"
71_0,0.09003598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.22304915291764,21.72350935822033]}"
72_0,0.1530378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.06958945669892,23.641412489815508]}"
73_0,0.071435794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.23714063414137,33.46898169808308]}"
74_0,0.076808155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.99560029726042,34.26399072452885]}"
