system:index,avg_rad,.geo
0_0,0.6075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.14270317226254,23.286577952588296]}"
1_0,0.28833333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.60658403641816,29.534360753639568]}"
2_0,0.33166668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65586203108828,33.07821454949108]}"
3_0,0.195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.24600942993628,19.796623073783955]}"
4_0,0.3025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.19884038306492,36.17740227970343]}"
5_0,0.42083335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.03652687996147,32.889568339825985]}"
6_0,0.17166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.10390052627042,13.598247613359257]}"
7_0,0.20916666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.30214664073867,6.838425100359857]}"
8_0,0.37333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.22642158246063,25.17753162565989]}"
9_0,0.81083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.17438791020946,24.620576149505787]}"
10_0,0.78583336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.99485419934202,23.24166218838232]}"
11_0,0.36833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.47133434888457,37.1790238214967]}"
12_0,0.13416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.85211355480405,9.385148930838701]}"
13_0,0.1775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.47444808651464,9.861256031422048]}"
14_0,0.9275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.00995047039709,19.97628613060786]}"
15_0,0.1175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.95292282680965,13.665621259668221]}"
16_0,0.32500002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.33284157776444,30.800985304248094]}"
17_0,0.9216667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21244445828317,11.294068909592685]}"
18_0,0.16583332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.12822365316943,8.069117039603602]}"
19_0,0.64666665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.41581389004413,23.03504967303483]}"
20_0,0.185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4558650288703,7.368431117990375]}"
21_0,0.18833333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.33433377360126,6.618337855750575]}"
22_0,2.5008333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20795288186258,28.806725373502758]}"
23_0,0.18166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.21430970307918,12.039670595411888]}"
24_0,0.955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27569957713074,25.55033246856949]}"
25_0,0.52416664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.00258885934915,12.641541835771967]}"
26_0,0.29333332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38387046018428,34.681707331644425]}"
27_0,1.0466666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.3599203822445,30.00148470138172]}"
28_0,1.6275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1592916391544,26.156695285350168]}"
29_0,0.18833333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08630726954723,11.39737516726643]}"
30_0,0.67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.17489030512513,23.156322236390967]}"
31_0,0.2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.15081088122888,13.373668792329378]}"
32_0,4.494167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.88168934495222,11.388392014425234]}"
33_0,0.1475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.59646674778918,11.648903446819896]}"
34_0,0.23166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.44500164232294,23.71327771254507]}"
35_0,0.2525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.85811231597162,7.098936532754519]}"
36_0,0.45166665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.03440294325253,18.5838974402226]}"
37_0,0.13666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.78000462907174,8.253271672848104]}"
38_0,0.29833335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.65336504542014,34.63229999101785]}"
39_0,0.72083336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.14145467942848,21.55732103065822]}"
40_0,0.175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.05125010205732,15.853018976499257]}"
41_0,0.5366667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.30451428045033,36.851138742793076]}"
42_0,0.42083335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.77426455981708,16.760317413459973]}"
43_0,0.14666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.3808710796005,7.557077327655475]}"
44_0,0.32583332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57626214835157,14.051896831839615]}"
45_0,0.23166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.95280846976338,8.388018965466033]}"
46_0,0.41166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.22230305499923,31.883455221612117]}"
47_0,0.15083334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.15916229319795,15.05800995005348]}"
48_0,0.35999998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91600041452374,19.607976864118857]}"
49_0,0.33083332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.22929161708797,28.236295168086862]}"
50_0,0.18166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.24725792277034,15.80810321229328]}"
51_0,0.19833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.13059129288109,7.202242790428264]}"
52_0,0.3325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.75704435205309,36.95444500046682]}"
53_0,0.3125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.06534158328105,22.222074340906666]}"
54_0,0.2475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.86072365868604,17.901177824291764]}"
55_0,0.19166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.8941592843827,18.696186850737543]}"
56_0,0.28083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.60345530987792,31.52412910796431]}"
57_0,0.31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.95305217276612,34.11576870264913]}"
58_0,0.14166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.74369896874775,10.090326428872526]}"
59_0,0.77166665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8470052264215,14.105795748886788]}"
60_0,0.28333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.14743845168589,20.667988899379893]}"
61_0,0.19416666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6154378433029,7.5525857512348775]}"
62_0,0.20416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.09329583163597,19.44628011297734]}"
