system:index,avg_rad,.geo
0_0,0.9125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.96128922768891,37.246397467805664]}"
1_0,0.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01930667219747,17.025320422275232]}"
2_0,0.345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.4794420578509,33.68008578985116]}"
3_0,0.36916667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31200523745473,24.01421333272511]}"
4_0,0.44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.82093121177277,32.87160203414359]}"
5_0,0.26500002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.08593422058804,7.4178384586169495]}"
6_0,0.16083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.61156301884424,13.652146530406428]}"
7_0,0.42833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.57014903013771,16.697435343571605]}"
8_0,0.36416668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.16391256153146,27.55806712857662]}"
9_0,0.31666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.79946313059094,26.655260268036503]}"
10_0,0.31166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.4809342536877,31.182769299998892]}"
11_0,0.13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.26246855087169,14.218085159401728]}"
12_0,0.4975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.97563940082557,23.704294559703875]}"
13_0,0.27583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.23277840367723,17.92812728281535]}"
14_0,0.33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.90526637393282,32.03616881991244]}"
15_0,0.35916668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.30065444490187,33.172537654323634]}"
16_0,0.2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.84799502734265,11.32101836811627]}"
17_0,0.33583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.91711956140134,30.571914906797616]}"
18_0,0.175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.40170741991022,15.120892019941847]}"
19_0,0.45416668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.80458644788365,21.031806589448298]}"
20_0,0.91583335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73958044128636,25.32575364753961]}"
21_0,0.48333332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.24513398606142,15.18826566625081]}"
22_0,0.21416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.45323869724572,6.986647122239579]}"
23_0,0.33333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.77899983924041,29.201984098515346]}"
24_0,0.2375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.25823566636402,19.679842086848417]}"
25_0,1.0666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.6008439671635,29.60622597636913]}"
26_0,0.20333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.39298295898195,12.327131486330135]}"
27_0,0.81583333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4880521617329,18.260503937939575]}"
