system:index,avg_rad,.geo
0_0,1.1375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.58761294090445,26.807973866336823]}"
1_0,0.28333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.68007080094098,16.059631491846748]}"
2_0,1.2725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.55630125191672,34.32238121799662]}"
3_0,0.35916668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.4223000572172,31.622943789217455]}"
4_0,0.23666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48730606381449,15.686830648937145]}"
5_0,0.20083334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.99621704922237,15.493692862851448]}"
6_0,0.36666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23490234038616,12.291198874965353]}"
7_0,0.27833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30751366103412,10.764062891962167]}"
8_0,0.3725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.94369597096572,32.557191684701756]}"
9_0,0.885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.77351846189868,20.587140523809136]}"
10_0,2.1191666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.28393663205354,18.130248221742242]}"
11_0,0.7658333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86622002493796,19.688825239689614]}"
12_0,0.48583332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.81194805893158,21.76393354600571]}"
13_0,0.205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.74144568608237,17.402612841605432]}"
14_0,0.24166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.0322790065436,6.735118842686113]}"
15_0,0.38333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.95417131964372,33.8013583532073]}"
16_0,0.23916666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.50052210116337,16.872606823974913]}"
17_0,0.74333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.07121099849218,30.787510574986303]}"
18_0,0.14416666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.71162619293145,12.327131486330135]}"
19_0,0.6333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.63702028153102,21.53486314855523]}"
20_0,0.2525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34344627239891,11.743226551652445]}"
21_0,0.09833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.21917432845899,13.997997914792444]}"
22_0,0.45083332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63789572540588,22.26699010511264]}"
23_0,1.82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2904227992266,13.261379381814436]}"
24_0,0.215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.19347336276947,13.225446770449656]}"
25_0,0.50666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76004373263689,36.40198110073331]}"
26_0,0.39833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.10414422927317,35.52612369871678]}"
27_0,0.41416666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38886443152055,15.655389613992961]}"
28_0,0.245,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.17688489587759,15.102925714259456]}"
29_0,0.1925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.51399683042516,12.03517901899129]}"
30_0,0.40916666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.29690896639967,34.86137038846833]}"
31_0,0.24166666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.82380124640011,11.500681424940174]}"
32_0,0.25916666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.74643965741863,15.556574932739814]}"
33_0,1.0008333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.19384641172867,19.69780839253081]}"
34_0,0.9141667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73059728844517,28.415958224910764]}"
35_0,0.36416668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.5212440844268,24.83617181769447]}"
36_0,1.0191667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.68618391915486,22.514026808245507]}"
37_0,0.2575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.96240837456652,16.827691059768938]}"
38_0,0.4075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.78848538699728,37.56080781724749]}"
39_0,0.33166665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.58012198390006,31.362432356822797]}"
40_0,0.22916667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.52959549639588,11.505173001360772]}"
41_0,0.26916668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.5873692379017,18.759068920625907]}"
42_0,0.45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.88368393570468,23.30454425827069]}"
43_0,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77838308727847,12.452895626106868]}"
44_0,0.19333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.63040476840149,10.934742795944876]}"
45_0,0.16083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.34044689181512,10.741605009859178]}"
46_0,0.93833333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.46809126529804,30.43267603775909]}"
47_0,0.41416666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.51949319667708,15.821577941555073]}"
48_0,0.38416666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.65610573409101,24.440913092681882]}"
49_0,0.26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70689091350812,12.313656757068342]}"
50_0,0.205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.52186083638875,13.61172234262105]}"
51_0,0.26250002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.5451941623666,8.850651336787585]}"
52_0,0.55833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.63427959286015,26.197119473135547]}"
53_0,0.25916666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.49902990532657,14.483088168216986]}"
54_0,0.21333334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.95055518709799,11.469240389995992]}"
55_0,0.26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.96315447248492,28.433924530593156]}"
56_0,0.37083334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33820859805991,25.505416704363515]}"
57_0,0.2875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.95292282680965,23.51115677361818]}"
58_0,0.23833333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.21805518158138,14.159694665933959]}"
59_0,0.24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.97202326827983,11.990263254785313]}"
60_0,0.46083334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27981810459214,26.704667608663076]}"
61_0,0.29000002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.88992639987501,20.31764593857328]}"
62_0,0.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.31973989746186,35.05450817455403]}"
63_0,0.35333332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.32710150850978,20.043659776916826]}"
64_0,0.23333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.22679463141984,11.330001520957465]}"
65_0,0.4258333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.46583798263265,31.591502754273275]}"
66_0,0.30416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.42567248676019,24.580151961720407]}"
67_0,0.39833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6684613164752,35.737227790484866]}"
68_0,0.31416667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.63739333049023,30.5988643653212]}"
69_0,0.255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.33358767568285,15.915901046387622]}"
70_0,0.2625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.47332893963704,8.491325223139777]}"
71_0,0.48416665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39659909152768,18.103298763218657]}"
72_0,0.2675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.2329077496337,16.701926919992204]}"
73_0,0.33916667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.73846129440875,30.594372788900603]}"
74_0,1.1791667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.26958645891688,12.857137503960653]}"
75_0,0.27583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.17638250096194,19.801114650204553]}"
76_0,0.17083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.03427359729608,9.120145922023442]}"
77_0,1.235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.76004373263689,19.5271284885481]}"
